Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading intestinal data ...
  B004_ascending_ct25: 21,232 nodes, 2925 patterns
  B005_ascending_ct24: 17,312 nodes, 2600 patterns
  B005_descendingSigmoid_ct20: 14,230 nodes, 1540 patterns
  B005_duodenum_ct25: 23,558 nodes, 2925 patterns
  B005_ileum_ct25: 17,670 nodes, 2925 patterns
  B006_descendingSigmoid_ct23: 24,585 nodes, 2300 patterns
  B006_descending_ct24: 20,379 nodes, 2600 patterns
  B008_ascending_ct22: 5,829 nodes, 2024 patterns
  B008_transverse_ct23: 22,279 nodes, 2300 patterns
  B010_ascending_ct25: 22,961 nodes, 2925 patterns
  B010_descendingSigmoid_ct24: 24,158 nodes, 2600 patterns
  B010_descending_ct24: 19,612 nodes, 2600 patterns
  B010_transverse_ct24: 14,924 nodes, 2600 patterns
  B011_ascending_ct24: 20,382 nodes, 2600 patterns
  B011_descendingSigmoid_ct24: 21,201 nodes, 2600 patterns
  B011_descending_ct24: 20,504 nodes, 2600 patterns
Intestinal: 16 samples (310,816 nodes total) in 8.5s
Parameters: 302,209

step 00225 (9.4%) | loss: 2.5027 | dt: 127ms | remaining: 272s   
step 00226 (9.5%) | loss: 2.4997 | dt: 129ms | remaining: 272s   
step 00227 (9.5%) | loss: 2.6710 | dt: 124ms | remaining: 271s   
step 00228 (9.6%) | loss: 2.7058 | dt: 130ms | remaining: 271s   
step 00229 (9.6%) | loss: 2.6035 | dt: 125ms | remaining: 271s   
step 00230 (9.7%) | loss: 2.5875 | dt: 124ms | remaining: 271s   
step 00231 (9.7%) | loss: 2.6543 | dt: 125ms | remaining: 271s   
step 00232 (9.7%) | loss: 2.5562 | dt: 124ms | remaining: 271s   
step 00233 (9.8%) | loss: 2.4610 | dt: 124ms | remaining: 271s   
step 00234 (9.8%) | loss: 2.4061 | dt: 123ms | remaining: 271s   
step 00235 (9.9%) | loss: 2.3568 | dt: 125ms | remaining: 270s   
step 00236 (9.9%) | loss: 2.4737 | dt: 126ms | remaining: 270s   
step 00237 (9.9%) | loss: 2.4813 | dt: 132ms | remaining: 270s   
step 00238 (10.0%) | loss: 2.3961 | dt: 127ms | remaining: 270s   
step 00239 (10.0%) | loss: 2.3614 | dt: 126ms | remaining: 270s   
step 00240 (10.1%) | loss: 2.3814 | dt: 126ms | remaining: 270s   
step 00241 (10.1%) | loss: 2.3717 | dt: 125ms | remaining: 270s   
step 00242 (10.2%) | loss: 2.3313 | dt: 125ms | remaining: 270s   
step 00243 (10.2%) | loss: 2.2924 | dt: 123ms | remaining: 269s   
step 00244 (10.2%) | loss: 2.2534 | dt: 124ms | remaining: 269s   
step 00245 (10.3%) | loss: 2.2224 | dt: 123ms | remaining: 269s   
step 00246 (10.3%) | loss: 2.1558 | dt: 124ms | remaining: 269s   
step 00247 (10.4%) | loss: 2.3325 | dt: 122ms | remaining: 269s   
step 00248 (10.4%) | loss: 2.3740 | dt: 122ms | remaining: 269s   
step 00249 (10.4%) | loss: 2.3388 | dt: 123ms | remaining: 269s   
step 00250 (10.5%) | loss: 2.2716 | dt: 123ms | remaining: 269s   
step 00251 (10.5%) | loss: 2.2272 | dt: 125ms | remaining: 268s   
step 00252 (10.6%) | loss: 2.2220 | dt: 126ms | remaining: 268s   
step 00253 (10.6%) | loss: 2.1458 | dt: 122ms | remaining: 268s   
step 00254 (10.6%) | loss: 2.1957 | dt: 123ms | remaining: 268s   
step 00255 (10.7%) | loss: 2.2091 | dt: 122ms | remaining: 268s   
step 00256 (10.7%) | loss: 2.1289 | dt: 123ms | remaining: 268s   
step 00257 (10.8%) | loss: 2.1280 | dt: 122ms | remaining: 268s   
step 00258 (10.8%) | loss: 2.1232 | dt: 125ms | remaining: 268s   
step 00259 (10.9%) | loss: 2.0459 | dt: 123ms | remaining: 267s   
step 00260 (10.9%) | loss: 2.1985 | dt: 123ms | remaining: 267s   
step 00261 (10.9%) | loss: 2.2189 | dt: 122ms | remaining: 267s   
step 00262 (11.0%) | loss: 2.1867 | dt: 121ms | remaining: 267s   
step 00263 (11.0%) | loss: 2.1208 | dt: 125ms | remaining: 267s   
step 00264 (11.1%) | loss: 2.2611 | dt: 124ms | remaining: 267s   
step 00265 (11.1%) | loss: 2.2617 | dt: 132ms | remaining: 267s   
step 00266 (11.1%) | loss: 2.1954 | dt: 125ms | remaining: 267s   
step 00267 (11.2%) | loss: 2.2373 | dt: 125ms | remaining: 266s   
step 00268 (11.2%) | loss: 2.1970 | dt: 128ms | remaining: 266s   
step 00269 (11.3%) | loss: 2.1623 | dt: 124ms | remaining: 266s   
step 00270 (11.3%) | loss: 2.1372 | dt: 125ms | remaining: 266s   
step 00271 (11.4%) | loss: 2.1343 | dt: 126ms | remaining: 266s   
step 00272 (11.4%) | loss: 2.0712 | dt: 128ms | remaining: 266s   
step 00273 (11.4%) | loss: 2.0942 | dt: 124ms | remaining: 266s   
step 00274 (11.5%) | loss: 2.0434 | dt: 126ms | remaining: 266s   
step 00275 (11.5%) | loss: 1.9784 | dt: 127ms | remaining: 265s   
step 00276 (11.6%) | loss: 2.0393 | dt: 137ms | remaining: 265s   
step 00277 (11.6%) | loss: 2.0233 | dt: 129ms | remaining: 265s   
step 00278 (11.6%) | loss: 2.0376 | dt: 104ms | remaining: 265s   
step 00279 (11.7%) | loss: 2.0972 | dt: 125ms | remaining: 265s   
step 00280 (11.7%) | loss: 2.1379 | dt: 122ms | remaining: 265s   
